#WL     TRANS    NORM
5400    0.000    0.000
5450    0.002    0.002
5500    0.010    0.010
5550    0.030    0.030
5600    0.070    0.070
5650    0.180    0.180
5700    0.400    0.400
5750    0.770    0.770
5800    0.890    0.890
5850    0.960    0.960
5900    0.990    0.990
5950    0.999    0.999
6000    1.000    1.000
6050    0.997    0.997
6100    0.990    0.990
6150    0.976    0.976
6200    0.960    0.960
6250    0.946    0.946
6300    0.930    0.930
6350    0.912    0.912
6400    0.895    0.895
6450    0.880    0.880
6500    0.860    0.860
6550    0.845    0.845
6600    0.825    0.825
6650    0.806    0.806
6700    0.788    0.788
6750    0.765    0.765
6800    0.742    0.742
6850    0.720    0.720
6900    0.700    0.700
6950    0.676    0.676
7000    0.650    0.650
7050    0.626    0.626
7100    0.600    0.600
7150    0.568    0.568
7200    0.530    0.530
7250    0.480    0.480
7300    0.395    0.395
7350    0.300    0.300
7400    0.215    0.215
7450    0.155    0.155
7500    0.120    0.120
7550    0.100    0.100
7600    0.085    0.085
7650    0.075    0.075
7700    0.060    0.060
7750    0.050    0.050
7800    0.040    0.040
7850    0.029    0.029
7900    0.020    0.020
7950    0.010    0.010
8000    0.000    0.000
