#RELATIVE EXTINCTION FOR SELECTED BANDPASSES
#Filter	eff
lambda	A/A(V)	A/E(B-V)	
#Landolt
U	3372	1.664	5.434	
B	4404	1.321	4.315	
V	5428	1.015	3.315	
R	6509	0.819	2.673	
I	8090	0.594	1.940	
#Sloan
u 	3546	1.579	5.155
g 	4925	1.161	3.793
r 	6335	0.843	2.751
i 	7799	0.639	2.086
z 	9294	0.453	1.479
#CTIO U	3683	1.521	4.968	
#CTIO B	4393	1.324	4.325	
#CTIO V	5519	0.992	3.240	
#CTIO R	6602	0.807	2.634	
#CTIO I	8046	0.601	1.962	
#UKIRT J	12660	0.276	0.902	
#UKIRT H	16732	0.176	0.576	
#UKIRT K	22152	0.112	0.367	
#UKIRT L	38079	0.047	0.153	
#Gunn g	5244	1.065	3.476	
#Gunn r	6707	0.793	2.590	
#Gunn i	7985	0.610	1.991	
#Gunn z	9055	0.472	1.540	
#Spinrad RS	6993	0.755	2.467	
#APM bJ	4690	1.236	4.035	
#Strömgren u	3502	1.602	5.231
#Strömgren b	4676	1.240	4.049
#Stromgren v	4127	1.394	4.552
#Strömgren 	4861	1.182	3.858
#Strömgren y	5479	1.004	3.277
#WFPC2 F300W	3047	1.791	5.849
#WFPC2 F450W	4711	1.229	4.015
#WFPC2 F555W	5498	0.996	3.252
#WFPC2 F606W	6042	0.885	2.889
#WFPC2 F702W	7068	0.746	2.435
#WFPC2 F814W	8066	0.597	1.948
#DSS-II g	4814	1.197	3.907
#DSS-II r	6571	0.811	2.649
#DSS-II i	8183	0.580	1.893
